"treatment_id","deltaS","deltaN","gammaN","rhoDA","sigmaDA","rhoFU","sigmaFU","gammaFU","Game_type","n","se_deltaS","se_deltaN","se_gammaN","se_rhoDA","se_sigmaDA","se_rhoFU","se_sigmaFU","se_gammaFU"
"2007Lis165_1a",0.52957823972841,1.41495718829746,2.16333788940886,0.344655938321689,-0.0456425984841526,-1.07389282252601,0.370400036669248,4.85427646435814,"DG",24,0.159318157976541,0.801947603072553,1.45016999850406,0.158766973492639,0.40813536807954,0.58031114366194,0.444336514302229,1.89248932453305
"2012Laz164_3",0.304798674841622,1.09124805176994,3.19847971330875,0.459915774408447,-0.275420806942456,-0.0412062643978474,-0.0556830835553039,3.17338522819144,"DG",135,0.0298965067818224,0.170004868009151,0.532169745324918,0.0311048693699063,0.252100229981245,0.108007752895226,0.254375078615535,0.640196182807931
"2013Kru001_1a",0.296081176581915,0.616162143780925,1.50782185601969,0.414321447378234,0.15933346110381,0.134039723428951,0.239338207523254,1.84257559202259,"DG",52,0.0519764598385641,0.189740345113061,0.68308979657543,0.0490051900848091,0.150072346555359,0.165925373102556,0.161788200718012,1.00960923971809
"2016Kim003_7",0.192200820214869,0.95234513980175,4.34924967013429,0.503409414508819,-13.8350233884601,0.142758096671547,-7.31208982498555,3.3836026768034,"DG",67,0.0255419580204063,0.153582223471511,0.761732636860365,0.0289027143576434,0.130038319174191,0.106716075247945,0.101113594445503,0.958634391696714
"2018Her061_9",0.514650491675848,1.86700393687836,4.91461392416938,0.302895025977409,-7.21299827559276,-0.358255523122852,-6.8189369369179,4.47552478568626,"DG",38,0.0942118377987152,0.521884614943367,1.66021033281855,0.0689509533081616,0.258365144172359,0.299978134705172,0.192282960343302,1.86203441357351
"2019Cha026_1",0.174168462374627,0.764015092481784,3.95797694056797,0.511157445520251,0.216742341345552,-0.648768165003321,0.544466821490196,10.3104183194434,"DG",56,0.0455103087786953,0.263282403487621,1.20083940854196,0.0568895387265759,0.114242707067321,0.289519188985516,0.149279782341721,2.50226755484247
"2020Bas115_2a",0.266715713743281,1.17120975327729,3.53569917297632,0.501902829806178,-0.327164137782489,-0.320931221720366,0.358423460488385,4.87209703468808,"DG",127,0.0285159059485803,0.319263995845418,0.927508897451494,0.0332315889199434,0.317025299527321,0.165266070691092,0.298960402903966,0.936017158082664
"2023Eck169_1a",0.0920576242509406,0.515427584758917,4.43780003313409,0.539967200792345,0.195875017862117,0.0329530505013667,0.482072240636099,7.33348457851372,"DG",357,0.0075348567696978,0.078431605552092,0.561941182373709,0.0108923576931617,0.0513136588376386,0.0463908141428575,0.0546550776399028,0.65746895414954
"2023Eck169_1b",0.0990264429850966,0.349217167600197,3.11027614256432,0.493339555791774,0.358499025287771,-0.0710879591478367,0.541983689349389,9.24565066746546,"DG",353,0.0091726575249563,0.0524415480696807,0.451045435975031,0.010660526973385,0.0240590494025706,0.0452182073456469,0.0263877245413912,0.729478805367415
"Average",0.117334344316736,0.511169930974121,3.35805944587857,0.507628374287312,-0.0928206306196355,-0.0262951975479462,0.0391548793198294,5.43267978364296,"DG",1209,0.00539278236070088,0.0389126201544661,0.234571462792006,0.00684556205541003,0.0206980877661767,0.0285573086823308,0.0223019671131933,0.307576499884976
