"treatment_id","subject_id","paper_id","scenarios","KW_Normative","Game_type","gender","age","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal","Design"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",1,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",2,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",3,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",4,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",6,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",7,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",8,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",9,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abcn29","2020Bas115",10,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",1,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",2,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",3,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",4,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",6,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",7,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",8,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",9,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_abmt22","2020Bas115",10,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",1,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",2,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",3,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",4,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",5,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",6,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",7,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",8,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",9,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aboo18","2020Bas115",10,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",1,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",2,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",3,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",4,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",6,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",7,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",8,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",9,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_acje13","2020Bas115",10,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",1,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",2,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",3,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",4,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",6,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",7,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",8,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",9,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_adgu03","2020Bas115",10,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",1,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",2,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",3,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",4,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",6,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",7,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",8,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",9,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_akno23","2020Bas115",10,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",1,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",2,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",3,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",4,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",6,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",7,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",8,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",9,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amra13","2020Bas115",10,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",0,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",1,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",2,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",3,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",4,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",6,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",7,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",8,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",9,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_amwu22","2020Bas115",10,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",1,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",2,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",3,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",4,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",6,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",7,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",8,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",9,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aodi09","2020Bas115",10,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",1,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",2,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",3,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",4,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",6,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",7,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",8,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",9,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_apfo19","2020Bas115",10,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",0,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",1,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",2,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",3,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",4,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",6,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",7,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",8,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",9,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_asko17","2020Bas115",10,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",1,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",2,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",3,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",4,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",6,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",7,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",8,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",9,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atbu30","2020Bas115",10,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",1,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",2,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",3,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",4,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",6,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",7,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",8,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",9,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atkr26","2020Bas115",10,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",1,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",2,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",3,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",4,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",6,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",7,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",8,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",9,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_atra26","2020Bas115",10,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",0,-1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",1,-0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",2,-0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",3,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",4,0.3,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",5,1,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",6,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",7,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",8,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_azmo30","2020Bas115",9,0.6,"DG",NA,NA,NA,NA,NA,NA,"Within"
